country,alcohol_type,servings
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kiribati,spirit_servings,34
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kuwait,spirit_servings,0
Kyrgyzstan,spirit_servings,97
Laos,spirit_servings,0
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
Latvia,spirit_servings,216
